tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
452,17:42.5,25:14.6,3724,7 Ave & Central Park South,40.76674056,-73.97906899,3160,Central Park West & W 76 St,40.77896784,-73.97374737,28975,Subscriber,1999,1
1103,17:50.8,36:14.1,116,W 17 St & 8 Ave,40.74177603,-74.00149746,3707,Lexington Ave & E 26 St,40.741459,-73.983293,36885,Subscriber,1976,1
378,17:57.7,24:16.3,332,Cherry St,40.71219906,-73.97948148,341,Stanton St & Mangin St,40.71782143,-73.97628939,34923,Subscriber,2000,1
327,18:03.6,23:31.1,479,9 Ave & W 45 St,40.76019252,-73.9912551,533,Broadway & W 38 St,40.75299641,-73.98721619,42284,Subscriber,1979,1
92,18:08.4,19:40.7,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,289,Monroe St & Classon Ave,40.6845683,-73.95881081,19126,Subscriber,1938,2
1006,18:22.2,35:08.9,307,Canal St & Rutgers St,40.71427487,-73.98990025,3082,Hope St & Union Ave,40.71167351,-73.95141312,40446,Subscriber,1994,1
1139,18:27.3,37:26.6,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,3165,Central Park West & W 72 St,40.77579377,-73.97620574,28558,Subscriber,1989,1
306,18:32.9,23:39.4,3708,W 13 St & 5 Ave,40.735445,-73.99431,247,Perry St & Bleecker St,40.73535398,-74.00483091,41955,Subscriber,1992,1
1368,18:35.6,41:23.7,490,8 Ave & W 33 St,40.751551,-73.993934,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,18907,Subscriber,1986,1
302,19:02.8,24:05.3,474,5 Ave & E 29 St,40.7451677,-73.98683077,497,E 17 St & Broadway,40.73704984,-73.99009296,31469,Subscriber,1969,1
263,19:03.3,23:26.8,349,Rivington St & Ridge St,40.71850211,-73.98329859,317,E 6 St & Avenue B,40.72453734,-73.98185424,40375,Subscriber,1995,1
1324,19:07.9,41:12.2,261,Johnson St & Gold St,40.69474881,-73.98362464,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,41636,Subscriber,1966,1
336,19:08.9,24:45.1,3522,37 St & 24 Ave,40.7701477,-73.9120938,3600,31 Ave & Steinway St,40.7611488,-73.9170071,35147,Subscriber,1986,1
